CTGRY_NM,FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,HMPG_URL,TEL_NO,BASE_DE
볼링장,영풍볼링장,강원도 동해시 동굴4길 28 영풍볼링장,42,42170,129.11444,37.520014,강원,_,033-531-4068,2021-12-31
볼링장,동송볼링센타,강원도 동해시 동굴로 129 동송볼링장,42,42170,129.118223,37.51878,강원,_,033-535-0055,2021-12-31
오락실,해오름오락실,강원도 동해시 동해대로 6188  2층 (망상동),42,42170,129.096855,37.588297,강원,,,2021-12-31
오락실,역전게임장,강원도 동해시 발한로 169  2층 (발한동),42,42170,129.10502,37.547044,강원,,,2021-12-31
오락실,해성게임장,강원도 동해시 발한로 61 (부곡동 3층),42,42170,129.102057,37.537917,강원,,,2021-12-31
오락실,황금오락실,강원도 동해시 발한로 79  102호 (부곡동),42,42170,129.101499,37.539274,강원,,,2021-12-31
오락실,현대게임장,강원도 동해시 송정로 54  1층 (송정동),42,42170,129.124631,37.497996,강원,,,2021-12-31
오락실,대성게임장,강원도 동해시 청운1길 61  지하1층 1호 (나안동),42,42170,129.110186,37.48632,강원,,,2021-12-31
오락실,지팩토리,강원도 동해시 한섬로 111-7 (천곡동),42,42170,129.115254,37.52225,강원,,,2021-12-31
오락실,못된 강아지,강원도 동해시 한섬로 61-1  112호 (천곡동),42,42170,129.110839,37.520517,강원,,,2021-12-31
오락실,근덕게임장,강원도 삼척시 근덕면 삼척로 3622-6 (근덕라이온스클럽),42,42230,129.226242,37.377471,강원,,,2021-12-31
오락실,마린게임장,강원도 삼척시 남양길 5 (남양동  세진철물건재),42,42230,129.168199,37.442447,강원,,,2021-12-31
오락실,OK 오락실,강원도 삼척시 도계읍 도계로 207-1 (오케이오락실),42,42230,129.042566,37.228348,강원,,,2021-12-31
오락실,짱오락실,강원도 삼척시 도계읍 도계우회로2길 8  101동 상가3호 (새롬아파트),42,42230,129.046621,37.237188,강원,,,2021-12-31
오락실,플레이존 게임장,강원도 삼척시 수로부인길 453 (갈천동  (주)대명레저산업삼척지점),42,42230,129.164779,37.471855,강원,,,2021-12-31
오락실,스타게임장,강원도 삼척시 오십천로 437-18  현대산부인과 3층 (남양동),42,42230,129.166582,37.440183,강원,,,2021-12-31
오락실,황제게임장,강원도 삼척시 원덕읍 호산중앙로 14-5,42,42230,129.335021,37.174682,강원,,,2021-12-31
볼링장,삼척볼링&스쿼시센타,강원도 삼척시 중앙로 185,42,42230,129.167508,37.440174,강원,_,_,2021-12-31
볼링장,삼척볼링장,강원도 삼척시 중앙로 191,42,42230,129.16742,37.440319,강원,_,033-575-0921,2021-12-31
오락실,에이스게임장,강원도 삼척시 중앙로 199  301호 (남양동  신한상가아파트),42,42230,129.16743,37.440977,강원,,,2021-12-31
오락실,이대박게임장,강원도 삼척시 중앙로 221  황금회관 4층 (남양동),42,42230,129.167461,37.442959,강원,,,2021-12-31
오락실,새마을게임장,강원도 삼척시 중앙로 223  2층 (남양동),42,42230,129.1676,37.443174,강원,,,2021-12-31
오락실,게임지존,강원도 삼척시 진주로 15 (남양동  현대타운),42,42230,129.163751,37.442022,강원,,,2021-12-31
오락실,행운게임랜드,강원도 삼척시 진주로 24  남양상가 (남양동),42,42230,129.164249,37.442774,강원,,,2021-12-31
오락실,동전 오락실,강원도 삼척시 진주로 24 (남양동),42,42230,129.164251,37.442892,강원,,,2021-12-31
오락실,GAME JONE,강원도 속초시 대포항길 186  롯데리조트속초 (대포동),42,42210,128.611015,38.180623,강원,,,2021-12-31
오락실,카페베네 대포항점 오락실,강원도 속초시 대포항희망1길 85 (대포동),42,42210,128.607806,38.174873,강원,,,2021-12-31
VR테마파크,브이알존 속초점,강원도 속초시 동해대로 4113 3층,42,42210,128.584364,38.189282,강원,"http://vr-zone.co.kr, http://www.facebook.com/vrzonekorea, http://www.instagram.com/vr_zone_http://blog.naver.com/vr-zone",033-635-2848,2021-12-31
볼링장,속초볼링프라자,강원도 속초시 미시령로 3383,42,42210,128.57635,38.206737,강원,_,033-635-2231,2021-12-31
오락실,쏘라노 오락실,강원도 속초시 미시령로2983번길 111 (장사동),42,42210,128.528567,38.210178,강원,,,2021-12-31
오락실,사조리조트 오락실,강원도 속초시 싸리재길 247-41 (노학동),42,42210,128.559463,38.181411,강원,,,2021-12-31
볼링장,신라볼링센터,강원도 속초시 엑스포로 171,42,42210,128.580842,38.198678,강원,_,033-637-0922~3,2021-12-31
볼링장,속초조양볼링센터,강원도 속초시 온정로 3,42,42210,128.592304,38.184503,강원,_,033-632-2508,2021-12-31
볼링장,현대수콘도볼링장,강원도 속초시 이목로 153,42,42210,128.546472,38.199519,강원,_,033-636-4326,2021-12-31
오락실,현대수콘도오락실,강원도 속초시 이목로 153 (노학동),42,42210,128.546472,38.199519,강원,,,2021-12-31
오락실,씨네월드,강원도 속초시 조양로142번길 20 (조양동),42,42210,128.585835,38.189103,강원,,,2021-12-31
오락실,블루게임방,강원도 속초시 중앙로 95-1 (청학동),42,42210,128.586623,38.201974,강원,,,2021-12-31
오락실,부산종합게임랜드,강원도 속초시 청봉로 191 (설악동),42,42210,128.526177,38.16687,강원,,,2021-12-31
오락실,설악게임랜드,강원도 속초시 청봉로5길 46 (설악동),42,42210,128.526585,38.166481,강원,,,2021-12-31
볼링장,올림픽볼링장,강원도 속초시 청학로 37,42,42210,128.583038,38.202019,강원,_,033-635-2158~9,2021-12-31
볼링장,양구볼링센터,강원도 양구군 양구읍 비봉로 6,42,42800,127.987044,38.1027,강원,_,033-481-6677,2021-12-31
오락실,퍼니퍼니오락실,강원도 양구군 양구읍 사명길 98,42,42800,127.988605,38.106655,강원,,,2021-12-31
오락실,해시계 오락실,강원도 양구군 양구읍 중앙길 59  1층,42,42800,127.989347,38.104754,강원,,,2021-12-31
오락실,플레이존,강원도 양양군 손양면 선사유적로 678 (라오텔),42,42830,128.665804,38.087804,강원,,,2021-12-31
오락실,게임존,강원도 영월군 영월읍 사지막길 160  동강시스타,42,42750,128.518125,37.217394,강원,,,2021-12-31
볼링장,영월스포츠파크영월볼링장,강원도 영월군 영월읍 제방안길 100 영월스포츠파크,42,42750,128.461931,37.176238,강원,_,_,2021-12-31
오락실,고래야 게임장,강원도 원주시 감영길 54-6  1층 (중앙동),42,42130,127.952625,37.348054,강원,,,2021-12-31
오락실,패밀리 게임랜드,강원도 원주시 나비허리길 33  102호 (단구동),42,42130,127.957322,37.324618,강원,,,2021-12-31
볼링장,유성볼링센터,강원도 원주시 남산로 103-2 우보삼성아파트,42,42130,127.940121,37.34584,강원,_,033-743-0929,2021-12-31
오락실,노리존,강원도 원주시 능라동길 34-1  1층 102호 (무실동),42,42130,127.92915,37.333417,강원,,,2021-12-31
VR테마파크,VR플러스 원주무실동점,강원도 원주시 능라동길 51,42,42130,127.930153,37.334841,강원,,033-733-3151,2021-12-31
오락실,피규어파크,강원도 원주시 능라동길 51  8층 805호 (무실동),42,42130,127.930153,37.334841,강원,,,2021-12-31
오락실,와우게임랜드,강원도 원주시 단구로 353  4층 (단구동),42,42130,127.958428,37.324375,강원,,,2021-12-31
오락실,시원 게임랜드,강원도 원주시 단구로 356  2층 202호 (단구동),42,42130,127.957932,37.324519,강원,,,2021-12-31
오락실,영오락실,강원도 원주시 단구로 362  1층 (단구동),42,42130,127.957492,37.323879,강원,,,2021-12-31
오락실,승리게임랜드,강원도 원주시 단구로 363  2층 (단구동),42,42130,127.957695,37.323563,강원,,,2021-12-31
볼링장,원주나이스볼링센터,강원도 원주시 단구로 408,42,42130,127.953521,37.322084,강원,_,033-735-5111,2021-12-31
오락실,잔디게임방,강원도 원주시 라옹정길 51-8  4층 (관설동),42,42130,127.960879,37.320402,강원,,,2021-12-31
오락실,블랙홀 게임랜드,강원도 원주시 라옹정길 53  3층 (관설동),42,42130,127.961578,37.320357,강원,,,2021-12-31
오락실,놀이터,강원도 원주시 무실로 121-1  2층 (원동),42,42130,127.943825,37.343031,강원,,,2021-12-31
오락실,K.POP 오락실,강원도 원주시 무실로12번길 24  1층 (일산동),42,42130,127.948312,37.349656,강원,,,2021-12-31
오락실,아로마 게임장,강원도 원주시 무실본동길 56  2층 (무실동),42,42130,127.932622,37.337375,강원,,,2021-12-31
볼링장,유성볼링장,강원도 원주시 문막읍 원문로 1811,42,42130,127.819674,37.310124,강원,_,033-747-7330,2021-12-31
볼링장,유성볼링장,강원도 원주시 문막읍 원문로 1811,42,42130,127.819674,37.310124,강원,_,033-747-7330,2021-12-31
볼링장,세경볼링장,강원도 원주시 백간길 55 세경3차아파트,42,42130,127.930261,37.352467,강원,_,033-731-6494~5,2021-12-31
오락실,TOP 게임장,강원도 원주시 북원로 2235-6  남원주타워 9층 901호 (단계동),42,42130,127.931599,37.345764,강원,,,2021-12-31
오락실,글로리 게임장,강원도 원주시 북원로 2243  2층 (단계동),42,42130,127.933314,37.346134,강원,,,2021-12-31
오락실,삼성 게임랜드,강원도 원주시 북원로 2245  3층 (단계동),42,42130,127.933325,37.346251,강원,,,2021-12-31
오락실,왕 게임장,강원도 원주시 북원로 2248  3층 (단계동),42,42130,127.934138,37.346441,강원,,,2021-12-31
오락실,코끼리 게임장,강원도 원주시 북원로2475번길 17  1층 (우산동),42,42130,127.938716,37.365547,강원,,,2021-12-31
볼링장,원주메가나이스락볼링,강원도 원주시 서원대로 165-3,42,42130,127.929805,37.345015,강원,_,033-732-8111,2021-12-31
오락실,게임 킹,강원도 원주시 서원대로 165-3  1층 (단계동  아트스페이스빌딩),42,42130,127.929805,37.345015,강원,,,2021-12-31
볼링장,w볼링장,강원도 원주시 서원대로 171,42,42130,127.930765,37.344556,강원,_,033-738-9801,2021-12-31
오락실,W.Games,강원도 원주시 서원대로 171  8층 (단계동),42,42130,127.930765,37.344556,강원,,,2021-12-31
오락실,킹 게임장,강원도 원주시 송림길 48-1  2층 (단구동),42,42130,127.952849,37.331987,강원,,,2021-12-31
오락실,단구 게임장,강원도 원주시 송림길 52-18  2층 (단구동),42,42130,127.952365,37.331032,강원,,,2021-12-31
오락실,추억의 오락실,강원도 원주시 신림면 다리실2길 32  치악휴게소 7동,42,42130,128.04827,37.256861,강원,,,2021-12-31
오락실,신림 게임장,강원도 원주시 신림면 신림황둔로 177  1층,42,42130,128.087363,37.244493,강원,,,2021-12-31
오락실,쵸파 혁신점,강원도 원주시 양지로 2  102호 (반곡동),42,42130,127.978637,37.325515,강원,,,2021-12-31
오락실,놀다가게,강원도 원주시 양지로 26  1층 (반곡동),42,42130,127.981605,37.324597,강원,,,2021-12-31
오락실,FUN GAME(펀 게임),강원도 원주시 양지로 80  7층 607호 (반곡동),42,42130,127.986196,37.327986,강원,,,2021-12-31
오락실,어뮤즈월드,강원도 원주시 우산로 61 (우산동),42,42130,127.936478,37.369213,강원,,,2021-12-31
오락실,벵크 게임장,강원도 원주시 우산초교길 21  지하1층 (우산동  원주원예농협우산지점),42,42130,127.938557,37.367241,강원,,,2021-12-31
오락실,호랭이 게임랜드,강원도 원주시 우산초교길 9  3층 (우산동),42,42130,127.939313,37.366935,강원,,,2021-12-31
오락실,조이랜드,강원도 원주시 원일로 103  1층 (일산동),42,42130,127.949001,37.349242,강원,,,2021-12-31
오락실,삼호 게임랜드,강원도 원주시 일산로 81-14  1층 (원동),42,42130,127.951328,37.346846,강원,,,2021-12-31
오락실,24시 게임장,강원도 원주시 장미공원길 27-1  6층 (단계동),42,42130,127.93214,37.346881,강원,,,2021-12-31
오락실,SK 게임장,강원도 원주시 장미공원길 71-9  지하 1층 (단계동),42,42130,127.930008,37.345853,강원,,,2021-12-31
오락실,원주 게임장,강원도 원주시 중앙로 203  2층 (학성동),42,42130,127.947011,37.354098,강원,,,2021-12-31
볼링장,오크밸리 볼링장,강원도 원주시 지정면 오크밸리1길 70 빌리지센터,42,42130,127.81905,37.43416,강원,_,033-730-3639,2021-12-31
오락실,스키빌리지 오락실,강원도 원주시 지정면 오크밸리2길 40  오크밸리 스키빌리지 스키빌리지동 지하1층,42,42130,127.807758,37.40865,강원,,,2021-12-31
오락실,오크밸리오락실,강원도 원주시 지정면 월송석화로 838  1층,42,42130,127.818426,37.425725,강원,,,2021-12-31
오락실,팡팡게임장,강원도 원주시 천사로 219-2  3층 (중앙동),42,42130,127.948062,37.351836,강원,,,2021-12-31
오락실,파라다이스 게임장,강원도 원주시 천사로 30  3층 (단계동),42,42130,127.92908,37.347781,강원,,,2021-12-31
오락실,프린스 게임장,강원도 원주시 천사로 60  7층 (단계동),42,42130,127.931835,37.347476,강원,,,2021-12-31
오락실,돼지게임랜드,강원도 원주시 평원로 27 (중앙동),42,42130,127.9525,37.348982,강원,,,2021-12-31
오락실,맘모스 게임랜드,강원도 원주시 평원로 51  2층 (중앙동),42,42130,127.950942,37.350414,강원,,,2021-12-31
오락실,봉 게임장,강원도 원주시 학성길 110  2층 (학성동),42,42130,127.943794,37.353628,강원,,,2021-12-31
볼링장,혁신 나이스 락 볼링장,강원도 원주시 황금로 2,42,42130,127.98658,37.327769,강원,_,033-735-6111,2021-12-31
오락실,아프리카 게임장,강원도 원주시 흥양로18번길 19-38  1층 (태장동),42,42130,127.95205,37.381944,강원,,,2021-12-31
오락실,용대게임장,강원도 인제군 북면 백담로 8-13,42,42810,128.34249,38.196651,강원,,,2021-12-31
오락실,용대게임장,강원도 인제군 북면 백담로 8-13,42,42810,128.34249,38.196651,강원,,,2021-12-31
오락실,싱통방통,강원도 인제군 북면 원통로 188 (2층),42,42810,128.204565,38.123498,강원,,,2021-12-31
오락실,고스트게임랜드,강원도 인제군 북면 원통로 197,42,42810,128.205217,38.124388,강원,,,2021-12-31
볼링장,인제원통위너볼링센터,강원도 인제군 북면 원통로230번길 7,42,42810,128.209505,38.124129,강원,_,033-461-0922~3,2021-12-31
오락실,인제게임장,강원도 인제군 인제읍 인제로 170-1,42,42810,128.170116,38.06761,강원,,,2021-12-31
오락실,인제게임장,강원도 인제군 인제읍 인제로 174-1,42,42810,128.170231,38.06788,강원,,,2021-12-31
오락실,행운게임장,강원도 정선군 고한읍 고한로 20,42,42770,128.842319,37.209063,강원,,,2021-12-31
오락실,황금오락실,강원도 정선군 고한읍 고한로 39  B1층,42,42770,128.843636,37.207918,강원,,,2021-12-31
오락실,썬 게임장,강원도 정선군 고한읍 지장천로 855,42,42770,128.834355,37.220455,강원,,,2021-12-31
오락실,캡틴마운틴 게임파크,강원도 정선군 고한읍 하이원길 265-1 (마운틴콘도 1층),42,42770,128.850373,37.19693,강원,,,2021-12-31
오락실,Mountain World,강원도 정선군 고한읍 하이원길 265-1 (마운틴콘도 마운틴프라자 1층),42,42770,128.850373,37.19693,강원,,,2021-12-31
오락실,가인게임랜드,강원도 정선군 남면 지장천로 17,42,42770,128.777478,37.244793,강원,,,2021-12-31
오락실,시장게임랜드,강원도 정선군 사북읍 사북3길 21-22,42,42770,128.817312,37.227179,강원,,,2021-12-31
오락실,랜드게임장,강원도 정선군 사북읍 사북중앙로 34-6,42,42770,128.818435,37.226802,강원,,,2021-12-31
오락실,아라리게임장,강원도 정선군 사북읍 사북중앙로 76,42,42770,128.822662,37.226917,강원,,,2021-12-31
오락실,마차재게임장,강원도 정선군 신동읍 강원남로 4155  마차재게임장 1층,42,42770,128.669485,37.270116,강원,,,2021-12-31
오락실,대박게임장,강원도 정선군 신동읍 의림로 277-1,42,42770,128.644202,37.216713,강원,,,2021-12-31
오락실,함백청소년오락실,강원도 정선군 신동읍 함백로 324  1층,42,42770,128.66987,37.21557,강원,,,2021-12-31
오락실,화이트게임장,강원도 정선군 임계면 송계2길 2  2층,42,42770,128.850854,37.494725,강원,,,2021-12-31
오락실,호돌이게임장,강원도 정선군 정선읍 녹도길 7  호돌이게임장 1동 1층,42,42770,128.672497,37.378014,강원,,,2021-12-31
오락실,몬스터랜드,강원도 정선군 정선읍 비봉안길 92  1층,42,42770,128.664342,37.381466,강원,,,2021-12-31
오락실,녹송 게임랜드,강원도 정선군 정선읍 애산로 171,42,42770,128.672638,37.386195,강원,,,2021-12-31
오락실,남산게임장,강원도 정선군 정선읍 칠현로 1948  남산게임장 1층,42,42770,128.666906,37.372675,강원,,,2021-12-31
오락실,대박게임장,강원도 철원군 갈말읍 삼부연로 4  펜시가든 2층,42,42780,127.308367,38.144903,강원,,,2021-12-31
오락실,헌터게임장,강원도 철원군 동송읍 금학로210번길 3-1,42,42780,127.218951,38.207563,강원,,,2021-12-31
볼링장,금강산볼링장,강원도 철원군 동송읍 이평로 131-1 금강산볼링장,42,42780,127.209991,38.207314,강원,_,033-455-0079,2021-12-31
오락실,멀티게임존,강원도 철원군 동송읍 이평로 43,42,42780,127.219181,38.209564,강원,,,2021-12-31
볼링장,무지개볼링센터,강원도 철원군 서면 와수1로9번길 16,42,42780,127.435736,38.237672,강원,_,033-458-0929,2021-12-31
오락실,테마 스포존,강원도 철원군 서면 와수로 168  1층,42,42780,127.4383,38.23854,강원,,,2021-12-31
오락실,스타게임파크,강원도 철원군 서면 와수로173번길 15,42,42780,127.437773,38.2387,강원,,,2021-12-31
VR테마파크,VR플러스 춘천명동점,강원도 춘천시 금강로 61-2,42,42110,127.728717,37.879749,강원,,033-255-3151,2021-12-31
오락실,강촌 멀티존,강원도 춘천시 남산면 강촌로 86,42,42110,127.63502,37.811522,강원,,,2021-12-31
오락실,게임엔조이,강원도 춘천시 남산면 북한강변길 688 (엘리시안강촌),42,42110,127.583069,37.82819,강원,,,2021-12-31
볼링장,세경볼링센타,강원도 춘천시 남춘천새길 42 세경5차아파트,42,42110,127.736929,37.862558,강원,_,033-261-6184~5,2021-12-31
오락실,원 게임장,강원도 춘천시 동내면 공지로 70-63  4층,42,42110,127.751935,37.854644,강원,,,2021-12-31
오락실,못된 강아지,강원도 춘천시 백령로 138  1층 (효자동),42,42110,127.742742,37.87396,강원,,,2021-12-31
오락실,강대 놀이터,강원도 춘천시 백령로138번길 16 (효자동),42,42110,127.743357,37.8737,강원,,,2021-12-31
VR테마파크,Fun VR,강원도 춘천시 백령로138번길 38,42,42110,127.744461,37.87318,강원,,070-4256-0208,2021-12-31
오락실,통 오락실,강원도 춘천시 백령로138번길 38  1층 (효자동),42,42110,127.744461,37.87318,강원,,,2021-12-31
오락실,조이주 게임장,강원도 춘천시 삭주로 69 (교동),42,42110,127.738548,37.883592,강원,,,2021-12-31
볼링장,CC볼링장,강원도 춘천시 서부대성로239번길 29,42,42110,127.745922,37.87494,강원,_,033-257-5322,2021-12-31
VR테마파크,미음치읓VR,강원도 춘천시 수변공원길 11 105호 공지천 호텔 상가 ㅁㅊvr,42,42110,127.707158,37.872489,강원,,033-255-3105,2021-12-31
볼링장,챔프볼링장,강원도 춘천시 수변공원길 19,42,42110,127.706804,37.873119,강원,_,033-256-5456,2021-12-31
볼링장,마블스트라이크,강원도 춘천시 아침길 10 2  3층,42,42110,127.730266,37.878834,강원,_,033-243-3300,2021-12-31
볼링장,쌍용볼링센터,강원도 춘천시 영서로 2793 두미르마을,42,42110,127.726863,37.901595,강원,_,033-255-0210,2021-12-31
오락실,컬쳐스페이스 게임장,강원도 춘천시 중앙로67번길 18  6동 1층 6117 6118호 (죽림동  브라운가),42,42110,127.727473,37.878007,강원,,,2021-12-31
VR테마파크,VR STAR,강원도 춘천시 지석로 80,42,42110,127.743733,37.850571,강원,,,2021-12-31
오락실,금오전자 게임장,강원도 춘천시 지석로 80  303호 (퇴계동  투탑시티),42,42110,127.743733,37.850571,강원,,,2021-12-31
오락실,홈런 게임장,강원도 춘천시 춘천로 170  2층 (운교동),42,42110,127.732959,37.876155,강원,,,2021-12-31
오락실,포스코 게임장,강원도 춘천시 춘천로 306-5  2층 202호 (후평동),42,42110,127.747184,37.881286,강원,,,2021-12-31
오락실,알라딘 게임랜드,강원도 춘천시 춘천로170번길 3-4  1층 (운교동),42,42110,127.733527,37.876075,강원,,,2021-12-31
오락실,GAME PARK(게임파크),강원도 춘천시 춘천로17번길 17  뉴타운빌딩 2층 201호 (온의동),42,42110,127.720196,37.866439,강원,,,2021-12-31
오락실,호랑이 게임장,강원도 춘천시 춘천로185번길 16-6  1층 102호 (운교동),42,42110,127.734488,37.877708,강원,,,2021-12-31
오락실,워시몰 게임장,강원도 춘천시 충열로 305  1층 (우두동),42,42110,127.738839,37.920318,강원,,,2021-12-31
오락실,광장 게임장,강원도 춘천시 효자로 141  1층 (효자동),42,42110,127.734951,37.875222,강원,,,2021-12-31
볼링장,토우볼링장,강원도 춘천시 후석로 361 토우장,42,42110,127.747566,37.8828,강원,_,033-255-1011~2,2021-12-31
오락실,봄내 게임장,강원도 춘천시 후석로 45  3층 (석사동),42,42110,127.741795,37.858758,강원,,,2021-12-31
오락실,드림게임랜드,강원도 태백시 감천로 21 (황지동),42,42190,128.988695,37.15957,강원,,,2021-12-31
오락실,사거리게임장,강원도 태백시 광장로 18  새마을금고 2층 (황지동),42,42190,128.986001,37.177524,강원,,,2021-12-31
오락실,국일게임장,강원도 태백시 먹거리길 69 (황지동),42,42190,128.988448,37.175242,강원,,,2021-12-31
오락실,로빈훗게임랜드,강원도 태백시 상장남길 54 (황지동),42,42190,128.98979,37.147693,강원,,,2021-12-31
오락실,파크게임장,강원도 태백시 새시장1길 42-12 (황지동),42,42190,128.99252,37.174018,강원,,,2021-12-31
오락실,테마스포존,강원도 태백시 서학로 861  오투리조트 (황지동),42,42190,128.94578,37.169787,강원,,,2021-12-31
오락실,대박게임장,강원도 태백시 오투로 143-3 (황지동),42,42190,128.972778,37.172073,강원,,,2021-12-31
