ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,FOND_MBY_VALUE,OPER_INSTT_NM,OPER_STLE_NM,TEL_NO,HMPG_ADDR,OPNNG_DE,TOTAR_VALUE,LRGE_THEAT_SEAT_CO_VALUE,LRGE_THEAT_AR_VALUE,MIDDL_THEAT_SEAT_CO_VALUE,MIDDL_THEAT_AR_VALUE,SMALL_THEAT_SEAT_CO_VALUE,SMALL_THEAT_AR_VALUE,PRFPLC_CO,DSPY_AR_CN,EDC_FCLTY_AR_VALUE,CNFRM_AR_CN,TSD_THEAT_ACEPTNC_NMPR_CO,TSD_THEAT_AR_VALUE,TOT_EMP_CO,SPCLTY_EMP_CO,PBLPRFR_DAY_CO,DSPY_DAY_CO,CHGD_ENTRN_CO,EMPR_CO,FYER_OPER_PRICE,PBLPRFR_INCME_PRICE,RM_CN,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDMSMC22N000000011,문화시설,문예회관,노원문화재단 노원문화예술회관,서울,노원구,1135010600,중계동,1135061900,중계본동,중계로,서울 노원구 중계로 181,1736,다사629612,127.0802671,37.6502369,기초자치단체,노원문화재단,공공기관 위탁,02-2289-3400,www.nowonarts.kr,2004.06.16,"13,167",,,608,"1,137",288,531,1,184,252,,,,57,10,74,210,"9,220",20984,"1,845",149,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000012,문화시설,문예회관,노원어린이극장,서울,노원구,1135010500,상계동,1135069500,상계6.7동,노해로,서울 노원구 노해로 502,1752,다사615617,127.0636923,37.6544501,기초자치단체,노원문화재단,공공기관 위탁,02-2289-3453,www.nowonarts.kr,2020.10.30,"1,471",,,,,208,391,,,,,,,,3,79,,"6,114",7783,454,69.1,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000013,문화시설,문예회관,도봉구민회관,서울,도봉구,1132010700,창동,1132051500,창5동,도봉로,서울 도봉구 도봉로 552,1427,다사593617,127.0388705,37.6541993,기초자치단체,도봉구시설관리공단,공공기관 위탁,02-901-5160,www.dobongsiseol.or.kr/index_hall,1993.12.09,"10,107",,,550,"1,812",190,470,,,,288,,,21,4,,,,2800,496,15.1315,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000014,문화시설,문예회관,마포아트센터,서울,마포구,1144010800,대흥동,1144060000,대흥동,대흥로20길,서울 마포구 대흥로20길 28,4136,다사510502,126.9455338,37.5499061,기초자치단체,마포문화재단,민간기관 위탁,02-3274-8600,www.mfac.or.kr,2008.04.11,"20,716","1,004","1,210",733,"2,621",201,488,1,200,480,802,88,88,4,21,35,,244,4129,"6,187",7,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000015,문화시설,문예회관,서대문문화체육회관,서울,서대문구,1141011800,홍은동,1141068500,홍은2동,백련사길,서울 서대문구 백련사길 39,3657,다사498536,126.9315574,37.5807597,기초자치단체,서대문구도시관리공단,공공기관 위탁,02-360-8683,www.sscmc.or.kr,1993.10.15,"9,887",,,589,786,150,290,1,117,"1,397",31,,,41,5,6,,"1,216",2401,"2,423",6.5,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000016,문화시설,문예회관,서초문화예술회관,서울,서초구,1165010200,양재동,1165065100,양재1동,강남대로,서울 서초구 강남대로 201,6749,다사589426,127.0359572,37.4818278,기초자치단체,서초구,지자체 직영,02-2155-8301,www.seocho.go.kr,1989.11.13,"4,068",,,657,833,100,207,1,104,60,50,,,15,1,5,,,1820,763,19,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000017,문화시설,문예회관,심산기념문화센터,서울,서초구,1165010700,반포동,1165057000,반포2동,사평대로,서울 서초구 사평대로 55,6550,다사549445,126.9905157,37.4988532,기초자치단체,(재)서초문화재단,공공기관 위탁,02-3477-2461,seochocf.or.kr,2011.03.29,"8,415",,,405,523,,,1,227,743,26,,,25,9,89,227,"1,508",8195,"4,485",102,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000018,문화시설,문예회관,성동문화회관,서울,성동구,1120010700,행당동,1120056000,행당1동,왕십리로,서울 성동구 왕십리로 281,4744,다사590512,127.0360074,37.5593111,기초자치단체,성동문화재단,공공기관 위탁,02-2204-6402,www.sdfac.or.kr,2005.12.28,"4,462",,,520,631,,,,,,,,,19,11,29,,"1,282",2872,703,20,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000019,문화시설,문예회관,성수문화복지회관,서울,성동구,1120011400,성수동1가,1120065000,성수1가1동,뚝섬로1길,서울 성동구 뚝섬로1길 43,4778,다사599496,127.0469481,37.5454288,기초자치단체,성동문화재단,공공기관 위탁,02-2204-7561,www.sdfac.or.kr,2012.09.14,"9,727",,,352,414,,,,,,,,,15,3,202,,"3,770",8421,557,285.7,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000020,문화시설,문예회관,양천문화회관,서울,양천구,1147010100,신정동,1147067000,신정6동,목동서로,서울 양천구 목동서로 367,8094,다사437465,126.86334,37.5165209,기초자치단체,양천문화재단,공공기관 위탁,02-2620-4904,yfac.kr/main,1998.01.12,"12,563",,,684,929,230,327,1,181,102,,,,17,4,241,92,"3,445",4890,"1,215",88,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000021,문화시설,문예회관,영등포아트홀,서울,영등포구,1156011300,당산동3가,1156055000,당산1동,국회대로,서울 영등포구 국회대로 596,7258,다사469475,126.9001093,37.5260087,기초자치단체,재단법인 영등포문화재단,공공기관 위탁,02-2670-4020,www.ydpcf.or.kr,2009.02.11,"3,290",,,526,768,,,1,432,,27,,,47,8,44,10,958,86660,926,25,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000022,문화시설,문예회관,용산아트홀,서울,용산구,1117013000,이태원동,1117065000,이태원1동,녹사평대로,서울 용산구 녹사평대로 150,4390,다사549482,126.9904788,37.5324523,기초자치단체,용산구,지자체 직영,02-2199-7260,art.yongsan.go.kr,2010.07.01,"8,519",,,787,"1,178",298,443,1,330,418,,,,7,4,48,10,,3950,110,2,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000023,문화시설,문예회관,은평문화예술회관,서울,은평구,1138010200,녹번동,1138051000,녹번동,녹번로,서울 은평구 녹번로 16,3381,다사495561,126.9279017,37.6036997,기초자치단체,은평문화재단,공공기관 위탁,02-351-3736,www.efac.or.kr,1996.11.15,"9,151",,,701,815,,,1,205,825,281,,,33,9,36,97,,1209,"3,574",8,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000024,문화시설,문예회관,"종로문화체육센터,(광화문아트홀)",서울,종로구,1111011500,사직동,1111053000,사직동,인왕산로1길,서울 종로구 인왕산로1길 21,3028,다사527528,126.964661,37.5742098,기초자치단체,문화나눔네트워크 시루,공공기관 위탁,02-725-2311,www.gwangart.com/51,2007.04.01,"6,756",,,316,507,,,,,,,,,3,3,23,,,2000,98,91.2,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000025,문화시설,문예회관,종로구민회관,서울,종로구,1111017400,창신동,1111067000,창신1동,지봉로5길,서울 종로구 지봉로5길 7-5,3104,다사571527,127.0143661,37.5735003,기초자치단체,종로구시설관리공단,공공기관 위탁,02-2148-4061,-,2000.02.14,"11,262",,,409,674,,,,,,,,,2,,,,,1050,75,114,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000026,문화시설,문예회관,재단법인 세종문화회관,서울,종로구,1111011900,세종로,1111053000,사직동,세종대로,서울 종로구 세종대로 175,3172,다사537526,126.9761683,37.5718479,광역자치단체,세종문화회관,공공기관 위탁,02-399-1000,www.sejongpac.or.kr,1978.04.14,"64,094","3,022","17,620","609,443, 328","263,816,272,228",,,5,"5,897",704,97,,,465,69,364,286,"289,753",416426,"46,645",50362,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000027,문화시설,문예회관,충무아트센터,서울,중구,1114016300,흥인동,1114061500,신당동,퇴계로,서울 중구 퇴계로 387,4569,다사571519,127.0147909,37.565941,기초자치단체,중구문화재단,공공기관 위탁,02-2230-6600,www.cac.ior.kr,2005.03.25,"36,727","1,250","1,268",320,516,212,527,1,245,260,313,,,56,21,320,26,"174,314",179934,"8,240",2013,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000028,문화시설,문예회관,금정문화회관,부산,금정구,2641010700,구서동,2641068000,구서1동,체육공원로,부산 금정구 체육공원로 7,46251,마라450956,129.0944742,35.2459192,기초자치단체,금정구,지자체 직영,051-519-5651,art.geumjeong.go.kr,2000.05.19,"15,922",,,"880,394","4,806,1,595",,,2,365,"1,079",,300,400,19,4,83,193,"7,215",23352,"8,441",128,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000029,문화시설,문예회관,부산예술회관,부산,남구,2629010600,대연동,2629053000,대연3동,용소로,부산 남구 용소로 78,48501,마라460829,129.1024564,35.1307378,광역자치단체,(사)부산예술문화단체총연합회,사단법인,051-631-1377,www.bsart.or.kr,2011.03.03,"4,907",,,,,240,598,1,239,296,88,400,40,10,,,,,16170,673,75.4,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000030,문화시설,문예회관,부산문화회관,부산,남구,2629010600,대연동,2629051000,대연1동,유엔평화로,부산 남구 유엔평화로 6,48493,마라450833,129.0917187,35.1344766,광역자치단체,부산문화회관,공공기관 위탁,051-607-6000,www.bscc.or.kr,1988.09.03,"33,310","1,409","18,916","777,410,312","7,210,960,846",,,1,"1,152","1,404",,,,103,29,70,110,"24,616",100087,"29,563",31199,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000031,문화시설,문예회관,동구국민체육문예센터,부산,동구,2617010200,수정동,2617057000,수정2동,구청로,부산 동구 구청로 8,48782,마라407826,129.0446742,35.128953,기초자치단체,(사)스포츠교육문화진흥원,민간기관 위탁,051-604-6000,www.bsdgsportsart.or.kr,2017.10.10,"5,720",,,,,200,"1,355",,,,,,,1,,,,,,,,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000032,문화시설,문예회관,부산시민회관,부산,동구,2617010400,범일동,2617066000,범일2동,자성로133번길,부산 동구 자성로133번길 16,48742,마라425837,129.065224,35.1388464,광역자치단체,부산문화회관,공공기관 위탁,051-630-5200,www.bscc.or.kr,1973.10.10,"14,929","1,606","7,146",407,"1,087",-,-,2,488,,137,,,43,13,39,84,"12,782",65758,568,325,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000033,문화시설,문예회관,동래문화회관,부산,동래구,2626010700,명륜동,2626054500,명륜동,문화로,부산 동래구 문화로 80,47746,마라447918,129.090546,35.2119507,기초자치단체,동래구,지자체 직영,051-550-6611,www.dongnae.go.kr/culture,1999.10.22,"5,520",,,505,874,200,289,1,250,276,146,"1,130","1,640",17,4,88,1,324,5149,"1,912",9.4,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000034,문화시설,문예회관,북구문화예술회관,부산,북구,2632010400,덕천동,2632056000,덕천2동,금곡대로46번길,부산 북구 금곡대로46번길 50,46547,마라370919,129.0057519,35.2134392,기초자치단체,부산광역시 북구,지자체 직영,051-309-4081,없음,2005.07.28,"3,311",,,341,"1,087",,,1,416,204,50,,,5,,32,,"1,042",4565,295,16,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000035,문화시설,문예회관,을숙도문화회관,부산,사하구,2638010300,하단동,2638056200,하단2동,낙동남로1233번길,부산 사하구 낙동남로1233번길 25,49300,마라316803,128.9449571,35.1100332,기초자치단체,사하구청,지자체 직영,051-220-5801,www.saha.go.kr/eulsukdo,2002.10.05.,"10,272",,,709,"1,455",208,429,3,457,517,221,150,706,14,3,72,121,"7,014",19676,"1,864",70,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000036,문화시설,문예회관,영도문화예술회관,부산,영도구,2620012100,동삼동,2620065000,동삼1동,함지로79번길,부산 영도구 함지로79번길 6,49114,마라428766,129.066859,35.0752654,기초자치단체,영도구청,지자체 직영,051-419-5571,culture.yeongdo.go.kr,2009.10.19,"3,538",,,428,447,157,184,1,161,84,49,600,660,20,3,73,73,"2,451",14230,"1,498",52,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000037,문화시설,문예회관,부산민주공원,부산,중구,2611010100,영주동,2611060000,영주2동,민주공원길,부산 중구 민주공원길 19,48901,마라392804,129.028028,35.109684,광역자치단체,(사)부산민주항쟁기념사업회,민간기관 위탁,051-790-7400,demopark.or.kr,1999.10.16,"20,338",,,419,463,120,218,2,961,,,100,225,27,2,17,114,,14069,"1,521",11.9,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000038,문화시설,문예회관,해운대문화회관,부산,해운대구,2635010700,좌동,2635055100,좌1동,양운로,부산 해운대구 양운로 97,48102,마라524874,129.173966,35.1711713,기초자치단체,해운대구청,지자체 직영,051-749-7651,www.haeundae.go.kr/culture,2007.02.20,"6,515",,,458,"1,070",130,214,2,345,,93,,,22,4,162,167,"5,431",543,743,198.4,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000039,문화시설,문예회관,영화의전당,부산,해운대구,2635010500,우동,2635052000,우2동,수영강변대로,부산 해운대구 수영강변대로 120,48058,마라481874,129.1270845,35.1710365,광역자치단체,영화의전당,공공기관 위탁,051-780-6000,www.dureraum.org,2011.09.29,"54,335",,,841,"1,537",,,1,791,,,"4,000","2,364",147,20,293,,"29,437",43814,"12,245",2557,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000040,문화시설,문예회관,대덕문화전당,대구,남구,2720010300,대명동,2720064000,대명9동,앞산순환로,대구 남구 앞산순환로 478,42501,라마972599,128.5769704,35.8312933,기초자치단체,남구,지자체 직영,053-664-3131,nam.daegu.kr/culturalcenter,1998.03.07,"6,701",,,536,"1,805",100,132,2,248,373,96,280,360,14,4,41,133,245,11964,"1,752",72.7,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000041,문화시설,문예회관,달서아트센터,대구,달서구,2729011000,장기동,2729056800,장기동,문화회관길,대구 달서구 문화회관길 160,42699,라마923612,128.5228263,35.8434224,기초자치단체,달서문화재단,공공기관 위탁,053-584-8714,www.dscf.or.kr,2004.10.14,"9,230",,,460,"1,512",212,582,1,335,"1,053",38,"1,000","1,200",16,8,179,302,"10,932",24755,"2,689",272,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000042,문화시설,문예회관,대구문화예술회관,대구,달서구,2729010100,성당동,2729051500,성당동,공원순환로,대구 달서구 공원순환로 201,42672,라마955614,128.5581018,35.8447674,광역자치단체,대구광역시,지자체 직영,053-606-6114,artcenter.daegu.go.kr,1990.05.21,"32,691","1,008","3,038",,,241,793,13,"3,930",150,866,"1,080","1,767",108,13,165,282,"14,641",83169,"9,355",271.6,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000043,문화시설,문예회관,아양아트센터,대구,동구,2714010300,효목동,2714059000,효목1동,효동로2길,대구 동구 효동로2길 24,41179,마마039653,128.6519367,35.8795637,기초자치단체,대구광역시 동구문화재단,공공기관 위탁,053-230-3344,www.ayangarts.or.kr,2004.05.04,"11,978","1,111","4,989",,,,,1,328,120,,400,460,17,9,87,223,"6,850",44127,"1,632",239,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000044,문화시설,문예회관,어울아트센터,대구,북구,2723012500,관음동,2723075000,관음동,구암로,대구 북구 구암로 47,41447,라마942715,128.5451287,35.9358674,기초자치단체,행복북구문화재단,공공기관 위탁,053-320-5120,www.hbcf.or.kr,1999.10.09,"7,931",,,425,535,116,293,2,257,479,84,100,74,44,9,84,279,"2,750",16311,"3,741",51,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000045,문화시설,문예회관,대구오페라하우스,대구,북구,2723010200,칠성동2가,2723052600,칠성동,호암로,대구 북구 호암로 15,41585,라마985657,128.5922331,35.8834654,광역자치단체,대구오페라하우스,공공기관 위탁,053-666-6000,www.daeguoperahouse.org,2003.08.07,"17,310","1,602","3,092",,,90,140,1,122,381,,,,46,19,46,36,"16,844",26416,"9,071",683,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000046,문화시설,문예회관,서구문화회관,대구,서구,2717010600,이현동,2717067500,상중이동,당산로,대구 서구 당산로 403,41759,라마943645,128.5455378,35.87279,기초자치단체,서구,지자체 직영,053-663-3081,www.dgs.go.kr/culture,1998.03.05,"5,834",,,442,733,,,1,159,710,,370,390,12,4,34,104,,12559,"2,040",67,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000047,문화시설,문예회관,수성문화재단 수성아트피아,대구,수성구,2726011200,지산동,2726065100,지산1동,무학로,대구 수성구 무학로 180,42188,마마019597,128.6282735,35.8292832,기초자치단체,재단법인수성문화재단,공공기관 위탁,053-668-1800,www.ssartpia.kr,2007.05.01,"14,873","1,159","2,688",301,438,,,2,436,415,237,,,35,19,170,317,"25,480",66815,"5,069",652,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000048,문화시설,문예회관,봉산문화회관,대구,중구,2711010800,봉산동,2711056500,성내1동,봉산문화길,대구 중구 봉산문화길 77,41958,라마990635,128.5965647,35.8633973,기초자치단체,중구,지자체 직영,053-661-3500,bongsanart.jung.daegu.kr,2004.10.05,"6,390",,,424,748,90,122,5,694,398,,150,116,21,5,64,210,"5,308",26420,"1,954",169,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000049,문화시설,문예회관,대구콘서트하우스,대구,중구,2711014900,태평로2가,2711057500,성내2동,태평로,대구 중구 태평로 141,41902,라마987649,128.5936972,35.876059,광역자치단체,대구광역시,지자체 직영,053-250-1400,concerthouse.daegu.go.kr,"(개관)1975.10.05.,(재개관","26,793","1,284","6,458",,,248,"20,335",,,,52,,,21,10,391,,"30,280",45857,"2,948",636,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000050,문화시설,문예회관,달성문화센터,대구,달성군,2771025628,다사읍 매곡리,2771025600,다사읍,대실역북로2길,대구 달성군 다사읍 대실역북로2길 188,42910,라마867636,128.4609555,35.8654751,기초자치단체,달성군시설관리공단,공공기관 위탁,053-659-4220,dssiseol.or.kr,2011.07.15,"7,200",,,302,528,,,1,108,"21,825",771,,,31,1,30,55,,20803,817,656,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000051,문화시설,문예회관,계양문화회관,인천,계양구,2824510200,계산동,2824561200,계산2동,계양산로35번길,인천 계양구 계양산로35번길 11,21042,다사309499,126.7181312,37.5460789,기초자치단체,계양구시설관리공단,공공기관 위탁,032-551-6602,www.gysiseol.or.kr,1997.11.27,"9,630",,,795,"2,130",,,,,,,500,"3,729",9,3,47,,"4,207",5620,755,32,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000052,문화시설,문예회관,남동소래아트홀,인천,남동구,2820011000,논현동,2820071000,논현고잔동,아암대로1437번길,인천 남동구 아암대로1437번길 32,21684,다사313323,126.7245963,37.3874638,기초자치단체,남동구도시관리공단,공공기관 위탁,032-460-0560,www.namdongarts.kr,2011.11.17,"9,995",,,703,627,193,277,1,525,266,73,112,200,15,6,42,89,"5,718",15994,"1,547",86.8,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
