"권역별",호남권,1575,21.3,78.7,1582,18.2,81.8,1447,43.4,56.6,1029,42.2,57.8,1469,34.8,65.2,1485,31.7,68.3
"권역별",대경권,1302,43,57,1304,44.5,55.5,1195,36.6,63.4,1047,55.2,44.8,1203,43.3,56.7,1200,41.8,58.2
"권역별",동남권,1896,40.8,59.2,1872,61.1,38.9,1781,58,42,1562,61.6,38.4,1762,38.9,61.1,1761,47.7,52.3
"17개 시도별",서울,1257,57.9,42.1,1220,57.1,42.9,1191,49.3,50.7,1931,37,63,1195,30.2,69.8,1164,48,52
"17개 시도별",부산,751,41.3,58.7,734,69.2,30.8,693,58.1,41.9,681,68.5,31.5,691,45.4,54.6,690,45.7,54.3
"17개 시도별",대구,633,44.9,55.1,638,46.9,53.1,584,39,61,490,57.7,42.3,580,48.7,51.3,580,42.5,57.5
"17개 시도별",인천,675,61.9,38.1,637,52.2,47.8,644,43.9,56.1,556,50.1,49.9,624,35.6,64.4,617,46.2,53.8
"17개 시도별",광주,492,23.1,76.9,475,18.8,81.2,451,28.2,71.8,294,43.7,56.3,452,42.1,57.9,447,31,69
"17개 시도별",대전,501,53.4,46.6,493,54.3,45.7,463,56.3,43.7,303,30.5,69.5,460,24.9,75.1,460,38.5,61.5
"17개 시도별",울산,426,36.2,63.8,425,49.5,50.5,406,51.6,48.4,221,52,48,390,38.6,61.4,393,60,40
"17개 시도별",세종,175,40.6,59.4,189,50.6,49.4,201,56.8,43.2,61,35.3,64.7,201,20.4,79.6,221,30.3,69.7
"17개 시도별",경기,1357,51,49,1325,56.8,43.2,1344,50.5,49.5,2408,40.9,59.1,1316,38.1,61.9,1326,31.9,68.1
"17개 시도별",강원,462,37.6,62.4,478,43.9,56.1,463,60.5,39.5,320,32.4,67.6,475,30.8,69.2,472,49.9,50.1
"17개 시도별",충북,512,46.8,53.2,501,54.6,45.4,475,61.1,38.9,321,38.3,61.7,480,22.7,77.3,482,35.9,64.1
"17개 시도별",충남,590,50.4,49.6,589,42,58,554,34.9,65.1,430,33.9,66.1,562,24.5,75.5,558,17.1,82.9
"17개 시도별",전북,551,24.1,75.9,560,19.3,80.7,496,54.1,45.9,375,39.5,60.5,511,31,69,523,17.8,82.2
"17개 시도별",전남,532,17.1,82.9,547,16.8,83.2,500,45,55,360,43.6,56.4,506,32.5,67.5,515,46.3,53.7
"17개 시도별",경북,669,41.1,58.9,666,42.2,57.8,611,34.5,65.5,557,52.9,47.1,623,38.5,61.5,620,41.3,58.7
"17개 시도별",경남,719,42,58,713,56.7,43.3,682,60.1,39.9,660,57.7,42.3,681,32.4,67.6,678,45.7,54.3
"17개 시도별",제주,300,55.6,44.4,308,56.8,43.2,302,35.1,64.9,120,41,59,302,69.7,30.3,300,41.4,58.6
"장애여부별",장애등록,-,-,-,124,49.4,50.6,151,43.6,56.4,225,36.5,63.5,218,25,75,151,22.4,77.6
"장애여부별",미등록,-,-,-,160,33.6,66.4,55,34,66,233,34,66,110,51.6,48.4,58,74.1,25.9
"장애여부별",해당사항없음,-,-,-,10214,51.3,48.7,9854,49.1,50.9,9630,44.8,55.2,9721,35.4,64.6,9837,39.3,60.7
"근무 형태",전일제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4189,41.4,58.6
"근무 형태",교대제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,287,45.7,54.3
"근무 형태",시간 선택제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,394,43.2,56.8
"근무 형태",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1419,37.2,62.8
"유연 근무제 여부",시행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,528,44.9,55.1
"유연 근무제 여부",미시행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2959,40.6,59.4
"유연 근무제 여부",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2802,39.9,60.1
