FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,MANAGE_MBY_NM,WORKDAY_OPER_AT,WKEND_OPER_AT,SPR_OPER_AT,SUMR_OPER_AT,FALL_OPER_AT,WNT_OPER_AT,ELECT_PROVD_AT,HWATER_PROVD_AT,WIFI_HOLD_AT,FWOOD_SLE_AT,WLK_ROAD_AT,WATERPARK_HOLD_AT,PLY_FCLTY_HOLD_AT,MART_HOLD_AT,TOILET_CO,SHWERRM_CO,SINK_CO,FETGS_CO,CFR_FSHNG_FCLTY_AT,CFR_WLK_ROAD_FCLTY_AT,CFR_BEACH_FCLTY_AT,CFR_PRIZE_LSR_FCLTY_AT,CFR_VALL_FCLTY_AT,CFR_RIVER_FCLTY_AT,CFR_POOL_FCLTY_AT,CFR_YNGBGS_EXPRN_FCLTY_AT,CFR_FAFV_EXPRN_FCLTY_AT,CFR_CHILD_PLY_FCLTY_AT,GLAMPING_BED_HOLD_AT,GLAMPING_TV_HOLD_AT,GLAMPING_FRIDGE_HOLD_AT,GLAMPING_WIFI_HOLD_AT,GLAMPING_IN_TOILET_HOLD_AT,GLAMPING_AC_HOLD_AT,GLAMPING_HEATER_HOLD_AT,GLAMPING_CKNG_TOOL_HOLD_AT,ETC_FCLTY_DC,FCLTY_INTRCN_CN,LAST_UPDT_DE
(주)어반슬로우시티,여가활동,캠핑,"자동차야영장,글램핑",강원도,춘천시,남면,관천리,383 번지,가옹개길,108 번,37.73265939,127.5123293,24468,강원도 춘천시 남면 가옹개길 108,강원도 춘천시 남면 관천리 383,18999349,,민간,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,수상레저를 즐길 수 있는 글램핑장,알수없음,20221130
(주)웨이브파크,여가활동,캠핑,일반야영장,경기도,시흥시,정왕동,,2721 번지,거북섬둘레길,42 번,37.3241008,126.6806876,15119,경기도 시흥시 거북섬둘레길 42,경기도 시흥시 정왕동 2721,0314319600,,민간,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,서핑레슨을 체험할 수 있음,알수없음,20221130
(주)자연인,여가활동,캠핑,"일반야영장,글램핑",제주특별자치도,제주시,아라일동,,2082-1 번지,아란서길,110 번,33.4687254,126.5399565,63239,제주특별자치도 제주시 아란서길 110,제주특별자치도 제주시 아라일동 2082-1,0647237500,http://jejujayeonin.com/,민간,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,1,1,1,0,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,N,제주시와 한라산 사이에 위치한 글램핑장.,"자연인 캠핑장은 제주시 중심가에서 5분 거리의 위치하고 있으며 펜션, 야외공연장, 카페, 공방, 레스토랑 등 다양한 부대시설이 함께 있는 캠핑장이다. 근교에 에코랜드, 용두암, 용두암해안도로, 사려니숲길 등 다양한 관광지가 인접해 있어 편리하게 여행할 수 있는 장점이 있는 캠핑장이다.    관리실 건물에는 화장실, 샤워장, 개수대가 있으며, 개수대 안에는 전자레인지, 그릇, 냄비, 컵 등의 취사도구가 구비되어 있어 언제든지 사용할 수 있어 편리하다. 캠핑장에서 운영하는 라이브 음악을 감상하며 생맥주를 마실 수 있는 ‘별빛광장’ 이 있어 맥주 한 잔이 주는 낭만의 시간을 가져보자.    깔끔한 화장실과 샤워장은 정리정돈이 잘 되어 있으며 샤워장엔 치약, 샴푸, 린스, 컨디셔너, 바디워시, 헤어드라이기 등 이 비치되어 있어 전혀 불편함 없이 편리하게 이용할 수 있다. 옷을 보관 할 수 있는 보관함까지 있다.",20221130
(주)태평소금 천일염 힐링캠프,여가활동,캠핑,일반야영장,전라남도,신안군,증도면,대초리,1648-27 번지,지도증도로,1053-11 번,34.99684782,126.1769557,58808,전라남도 신안군 증도면 지도증도로 1053-11,전라남도 신안군 증도면 대초리 1648-27,0612751596,http://www.saltvillage.co.kr/main/index.asp,민간,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,1,1,2,20,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,증도 슬로시티 내 위치  소금밭 체험장 옆  바로 옆에 태평염색식물원 위치,"㈜태평소금 천일염힐링캠프는 신안 증도면 지도증도로에 위치한 곳으로 소금밭 체험장 옆에 있다. 3,000평 면적에 일반야영장 9면과 카라반 10대의 시설을 갖추고 있으며, 특히 친환경 카라반 캠핑장인 만큼 천일염의 진가를 맛볼 수 있다. 이곳은 증도 슬로시티 내 위치한 곳답게 바쁜 일상 속에서 천천히 휴식을 취하기 좋은 곳이다. 바다와 갯벌이 끝없이 펼쳐진 자연을 보고 있노라면 세상 걱정 근심을 잠시나마 잊을 수 있다.    증도 태평염전은 여의도의 약 2배 면적을 자랑하는 국내최대단일염전으로 유네스코 생물권 보전지역과 동시에 아시아 최초 슬로시티로 지정된 곳이다. 거기에 람사르 습지에까지 지정되어 생태 그랜드슬램을 달성한 자랑스러운 근대 문화유산(제360호)이다. 그 어느 곳보다 캠핑을 하며 곳곳에서 소금을 체험할 수 있는 장소다. 염생식물원에서는 색색의 갖가지 염생식물을 만날 수 있고 소금밭체험은 기본, 레스토랑과 슈퍼에서 소금으로 관련된 음식을 맛볼 수 있다.",20221130
(주)포세이돈,여가활동,캠핑,자동차야영장,경기도,가평군,청평면,고성리,36-2 번지,고재길,262-101 번,37.70148632,127.5179169,12456,경기도 가평군 청평면 고재길 262-101,경기도 가평군 청평면 고성리 36-2,023348787,http://pose2don.com/,민간,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,2,2,10,19,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,수상레저를 즐길 수 있는 카라반,카라반 19대를 운영 중이며 서바이벌 그라운드가 접한 전망이 좋은 곳과 수상레저를 접근하기 쉽도록 바로 앞 호수가 인접한 곳에 위치하여 문을 열면 청평호의 시원한 풍경이 조망된다. 카라반은 파쇄석 위에 전용 나무데크 시설과 잔디밭위에 위치해 있어 꼭 외국 캠핑장에 와 있는 것 같은 느낌을 준다. 탁자와 의자가 있어 바비큐 그릴을 사용하기 편리하다. 공동 바비큐장도 이용이 가능하며 카라반 내 화장실과 샤워실 내부의 청소상태 또한 청경하여 이용객의 기분을 좋게 한다. 수상레저 전문업체가 운영하는 만큼 여름철 각종 수랑레저 및 액티비티를 체험 할 수 있으며 카바나식 그늘막이 설치된 수영장에는 일몰시 아름다운 사진을 남길 수 있다.,20221130
505펜션&캠핑(오공오),여가활동,캠핑,일반야영장,충청남도,공주시,사곡면,호계리,594-9 번지,호계황골길,43 번,36.50171441,127.0208092,32523,충청남도 공주시 사곡면 호계황골길 43,충청남도 공주시 사곡면 호계리 594-9,,,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,2,3,40,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,워터파크가 부럽지 않은 물놀이 시설을 갖춘 캠핑장,"505펜션&캠핑은 충남 공주시 사곡면에 자리 잡고 있다. 공주시청을 기점으로 웅진로를 타고 연미터널과 신영터널을 거치면 닿는다. 도착까지 소요시간은 약 20분이다. 고즈넉한 시골길을 가다 적당히 가파른 언덕을 오르면 나타난다. 이곳은 웬만한 워터파크가 부럽지 않은 시설을 갖췄다. 대형 수영장과 워터슬라이드가 있어 남녀노소 누구나 물놀이 삼매경에 빠진다. 이 덕분에 한여름이면 발 디딜 틈이 없을 정도다. 일반캠핑장은 22면을 마련했는데, 사이트 크기는 가로 6m 세로 7m로 널찍하다. 개인 카라반과 트레일러도 수용할 수 있으며, 이 경우 이용료는 일반캠핑장과 같다. 관리소에서는 캠핑 장비를 빠뜨리고 온 캠퍼를 위해 릴선과 난방기구를 대여해준다.  캠핑장 주변에는 마곡사 등 공주의 유명 관광지가 많다. 인근 유구읍에는 공주 한우 등을 전문으로 내놓는 음식점이 즐비하다.",20221130
7BLOCK(세븐블럭),여가활동,캠핑,"일반야영장,글램핑",경기도,포천시,설운동,,538-29 번지,해룡로,50-109 번,37.86136802,127.1366392,11160,경기도 포천시 해룡로 50-109,경기도 포천시 설운동 538-29,,http://www.7block.net/page/sub0101,민간,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,10,21,17,32,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,포천시내가 한눈에 보이는 캠핑장,"7block camping 세븐블록 캠핑장 서울에서 30분 거리에서 자연과 하나되는 곳 프리미엄 글램핑 세븐블럭 낮에는 시원하게 포천시내가 내려 보이고 밤에는 왕방산의 쏟아지는 별들이 보이는 넓은 사이트 크기와 초대형데크, 오색정원, 폭포정원, 흑정원…여느 캠핑장과 비교할 수 없는 최대 규모이제 7block으로 퇴근하세요",20221130
80 SS 오토캠핑장,여가활동,캠핑,"일반야영장,자동차야영장,글램핑",경상북도,군위군,부계면,남산리,1138-4 번지,한티로,1525-6 번,36.02995826,128.6304851,39066,경상북도 군위군 부계면 한티로 1525-6,경상북도 군위군 부계면 남산리 1138-4,0543820007,http://80sscamping.com/,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,2,2,2,40,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,Y,N,대형수영장이 있는 캠핑장,"SS캠핑장은 경북 군위군 부계면에 자리 잡고 있다. 군위군청을 기점으로 32㎞가량 떨어졌다. 자동차에 몸을 싣고 경북대로, 치산효령로, 79번 지방도를 차례로 달리면 닿는다. 도착까지 소요되는 시간은 40분 안팎이다. 이곳은 적당히 가파른 언덕을 내려가면 도착하는데, 청정한 숲속에 안긴 듯한 느낌을 준다. 캠핑장에는 글램핑 7개동, 일반 야영장 14면, 자동차 야영장 10면을 마련했다. 글램핑 객실 내부에는 침구류, 에어컨, TV, 냉장고, 전자레인지, 식기류 등 일상생활이 가능할 정도의 물품을 비치했다. 외부 전용 데크에는 테이블과 의자를 배치해 바비큐를 즐길 수 있다. 일반 야영장과 자동차 야영장은 모두 데크로 이뤄졌으며, 사이트 크기는 가로 4m 세로 6m다.  캠핑장 주변에 동산게곡, 블루데이식물원, 팔공산, 도덕산, 치산관광지 등 관광자원이 풍부하다. 인근에 여러 음식점이 성업 중이라 맘에 드는 요리도 맛볼 수 있다.",20221130
914 해변 캠핑장,여가활동,캠핑,일반야영장,전라북도,고창군,상하면,자룡리,529-5 번지,진암구시포로,539-18 번,35.44431342,126.4351679,56408,전라북도 고창군 상하면 진암구시포로 539-18,전라북도 고창군 상하면 자룡리 529-5,0635646096,,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,1,1,1,8,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,해변가와 가까운 캠핑장,"914는 구시포를 유쾌하게 숫자로 표현한 이름이라고 한다. 구시포 해수욕장과 인접한 고창 상하면 자룡리에 위치해 있으며 광주와도 거리가 멀지 않아 접근성이 좋은 편이다. 464평 부지에 개인카라반 사이트 8면을 갖춘 캠핑장으로 사이트는 모두 맨흙이다. 캠핑장 이용 고객은 따뜻한 온수가 나오는 샤워장, 화장실, 전기시설을 모두 무료로 이용할 수 있으며 깔끔하고 쾌적한 환경을 자랑한다.    바다와 인접해 있어 해수욕을 즐길 수도 있고 해변 소나무 숲을 산책할 수도 있다. 특히 높디높은 소나무 숲은 무더운 여름에도 서늘한 그늘을 만들어주는데 그 풍경이 마치 한 폭의 수묵화를 보는 듯 아름답다.     아름다운 자연환경 속에 있는 914해변 캠핑장을 좀 더 본격적으로 즐기고 싶다면 놀이기구를 이용해 속도를 즐겨보자. 2인용 자전거와 전동킥보드, 전동스쿠터 대여가 가능해 푸른 바닷가를 따라 환상적인 풍경을 보며 달릴 수 있다.",20221130
가고파캠핑장,여가활동,캠핑,자동차야영장,경상남도,산청군,시천면,내공리,627-2 번지,지리산대로1478번길,31-10 번,35.23999917,127.8177287,52238,경상남도 산청군 시천면 지리산대로1478번길 31-10,경상남도 산청군 시천면 내공리 627-2,,네이버 카페/ gagopayo,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,1,1,3,0,Y,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,반려동물 동반 가능,알수없음,20221130
가델관광농원,여가활동,캠핑,일반야영장,충청남도,아산시,초사동,,685-5 번지,신정로,200-116 번,36.73799252,126.9720671,31539,충청남도 아산시 신정로 200-116,충청남도 아산시 초사동 685-5,,https://blog.naver.com/janusmarch,민간,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,물놀이장 이용 가능,알수없음,20221130
가람관광농원,여가활동,캠핑,일반야영장,경상남도,합천군,봉산면,계산리,1620 번지,인덕로,930 번,35.58741764,128.0576347,50210,경상남도 합천군 봉산면 인덕로 930,경상남도 합천군 봉산면 계산리 산 1620,,http://cafe.naver.com/hpgeni2016,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,1,1,1,7,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,미니 동물농장이 있음,"가람펜션캠핑장은 펜션과 오토캠핑장이 함께 있는 캠핑장이다. 캠핑장 입구에는 미니 동물농장이 있어(오리, 닭, 토끼 등) 캠퍼들을 반갑게 맞아준다. 캠핑장 사이트는 파쇄석으로 되어 있으며 화장실, 개수대, 샤워장이 같은 건물에 있다. 여자 화장실에 어린이용 세면대가 따로 설치되어 있어 아이들이 혼자서도 열심히 세수를 한다.     개수대에는 전자레인지가 있어 간편한 요리를 해먹을 수 있어 편리하다. 아이들이 좋아하는  트램펄린이 설치되어 있으며, 여름철에 넓은 수영장이 운영되어 특히 아이들이 좋아한다. 캠핑장 옆으로 계곡물이 흐르고 있어 물고기 잡기와 물놀이를 즐길 수 있다. 캠핑장 한쪽으로는 사장님 내외가 유기농으로 키우신 텃밭이 있다. 주렁주렁 열려있는 고추, 상추, 토마토, 콜라비 등을 무료로 먹을 수 있다.",20221130
가람리조트,여가활동,캠핑,일반야영장,강원도,홍천군,두촌면,철정리,34-5 번지,부채들길,29 번,37.83640294,128.0183778,25164,강원도 홍천군 두촌면 부채들길 29,강원도 홍천군 두촌면 철정리 34-5,0334341080,,민간,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"바베큐장, 노래방 등 다양한 부대시설 이용 가능",알수없음,20221130
